original_address,original___parsed_extra,lat,lon,formatted,housenumber,name,street,district,suburb,postcode,city,confidence_city_level,county,state,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
"KÖZTÁRSASÁG UTCA 36.,"" BALATONLELLE"",47.60448375,17.25053158134869,""Csorna, Köztársaság utca 36, 9300, Magyarország"",36,,Köztársaság utca,,Kiscsorna,9300,Csorna,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ROZMARING UTCA 4.,"" BALATONLELLE"",47.47315415,19.018842866985104,""Budapest, Rozmaring utca 4, 1118, Magyarország"",4,,Rozmaring utca,XI. kerület,Sasad,1118,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PETERDY UTCA 33.,"" BUDAPEST"",47.5081004,19.082144,""Budapest, Peterdy utca 33, 1071, Magyarország"",33,,Peterdy utca,VII. kerület,Erzsébetváros,1071,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÚJVÁROSI U 5.,"" HAJDÚBÖSZÖRMÉNY"",47.4523185,21.3883038,""Hajdúszoboszló, Újvárosi utca 5, 4200, Magyarország"",5,,Újvárosi utca,,,4200,Hajdúszoboszló,,Hajdú-Bihar vármegye,Észak-Alföld,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉKÉSI ÚT 6.,"" MEZOBERÉNY"",46.8228085,21.0302642,""Mezőberény, Békési út 6, Magyarország"",6,,Békési út,,,,Mezőberény,,Békés,Dél-Alföld,,Magyarország,hu,1,,,"
"FELSOMALOM UTCA - BÁNYÁSZ UTCA,"" BUDAPEST"",46.075733,18.235281,""Fuenfkirchen, Felsőmalom utca, Magyarország"",,,Felsőmalom utca,,,,Fuenfkirchen,,Baranya,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÓBITÁS,"" BUDAPEST"",47.5261892,19.2094313,""Budapest, Bóbitás út, 1164, Magyarország"",,Bóbitás út,Bóbitás út,XVI. kerület,Cinkota,1164,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁR UTCA 1.,"" GYULA"",47.4249679,19.0379482,""Budapest, Vár utca 1, 1222, Magyarország"",1,,Vár utca,XXII. kerület,Budafok,1222,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VÁCI ÚT 179-183.,"" BUDAPEST"",47.554250499999995,19.075751647370062,""Budapest, Váci út 179-183, 1138, Magyarország"",179-183,,Váci út,XIII. kerület,Angyalföld,1138,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÁROLYI I UTCA 21-23.,"" BUDAPEST"",47.43979255,18.90138050414952,""Törökbálint, Károlyi utca 21, 2045, Magyarország"",21,,Károlyi utca,,MÁV-telep,2045,Törökbálint,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ROKOLYA UTCA 22.,"" BUDAPEST"",47.542193,19.0896155,""Budapest, Rokolya utca 22, 1131, Magyarország"",22,,Rokolya utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ISKOLA KÖZ,"" BÉKÉSSÁMSON"",47.4448905,19.1487806,""Budapest, Iskola köz, 1194, Magyarország"",,Iskola köz,Iskola köz,XIX. kerület,Kispest,1194,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KRECSÁNYI UTCA 16.,"" BUDAPEST"",47.5269273,18.990760950000002,""Budapest, Krecsányi utca 16, 1025, Magyarország"",16,,Krecsányi utca,II. kerület,Törökvész,1025,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÁDL ÁROK  6.,"" BUDAPEST"",47.5523434,19.0341608,""Budapest, Rádl árok, 1037, Magyarország"",,Rádl árok,Rádl árok,III. kerület,Kaszásdűlő,1037,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DUNAVIRÁG UTCA 2-6.,"" BUDAPEST"",47.535099,19.060991,""Magyar Posta Központi Ügyfélszolgálati Iroda, Budapest, Dunavirág utca 2-6, 1562, Magyarország"",2-6,Magyar Posta Központi Ügyfélszolgálati Iroda,Dunavirág utca,XIII. kerület,Vizafogó,1562,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"Ó UTCA 5.,"" BUDAPEST"",47.5026729,19.055934,""Budapest, Ó utca 5, 1066, Magyarország"",5,,Ó utca,VI. kerület,Terézváros,1066,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PÁTER KÁROLY ÚT 1.,"" GÖDÖLLO"",47.8758186,17.273355249999994,""Mosonmagyaróvár, Károly út 1, 9200, Magyarország"",1,,Károly út,Móra Ferenc lakótelep,Károlyliget,9200,Mosonmagyaróvár,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GESZTENYÉS UTCA 1-3,"" SZÁZHALOMBATTA"",47.4141438,19.0890306,""Budapest, Gesztenyés utca, 1213, Magyarország"",,Gesztenyés utca,Gesztenyés utca,XXI. kerület,Csepel-Királyerdő,1213,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ERZSÉBET KIRÁLYNÉ ÚTJA 50.,"" BUDAPEST"",46.7627294,17.24849253442883,""Keszthely, Erzsébet királyné útja 50, 8360, Magyarország"",50,,Erzsébet királyné útja,,Helikonliget,8360,Keszthely,,Zala vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ANDRÁSSY ÚT 31.,"" BUDAPEST"",47.5027639,19.0599988,""Budapest, Andrássy út 31, 1061, Magyarország"",31,,Andrássy út,VI. kerület,Terézváros,1061,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MÁTÉ MÁRIA UTCA 4.,"" GYOR"",47.659382699999995,17.659816803397515,""Győr, Máté Mária utca 4b, 9028, Magyarország"",4b,,Máté Mária utca,,Raktárváros,9028,Győr,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MUSKOTÁLY UTCA 19.,"" BUDAPEST"",47.48322325,19.0251522251569,""Budapest, Muskotály utca 19, 1118, Magyarország"",19,,Muskotály utca,XI. kerület,Sashegy,1118,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FELSO ZÖLDMÁLI UTCA 98.,"" BUDAPEST"",47.528553,19.021082,""Budapest, Felső Zöldmáli út, 1025, Magyarország"",,,Felső Zöldmáli út,,Pasaret,1025,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NULL,,47.158803899999995,17.966451300000003,""null-ponti parkoló, Veszprém, Északi hadiút, 8200, Magyarország"",,null-ponti parkoló,Északi hadiút,,Gyulafirátót,8200,Veszprém,,Veszprém vármegye,Közép-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉKE UTCA 13-19.,"" BUDAPEST"",47.53330699999999,19.082239553258624,""Budapest, Béke utca 13-19, 1135, Magyarország"",13-19,,Béke utca,XIII. kerület,Angyalföld,1135,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BATTHYÁNY UTCA 48.,"" BUDAPEST"",47.50660135,19.028225586998627,""Budapest, Batthyány utca 48, 1015, Magyarország"",48,,Batthyány utca,I. kerület,Buda,1015,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LEHEL ÚT 70-76.,"" BUDAPEST"",47.3325354,19.8620837,""Tápiószele, Lehel út, 2766, Magyarország"",,Lehel út,Lehel út,,,2766,Tápiószele,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZENTENDREI ÚT 207-209.,"" BUDAPEST"",47.5781795,19.0499228,""Budapest, Szentendrei út 207-209, 1031, Magyarország"",207-209,,Szentendrei út,III. kerület,Mocsárosdűlő,1031,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÖSZÖRMÉNYI ÚT 68.,"" DEBRECEN"",47.54286345,21.6081607,""T parkolóház, Debrecen, Böszörményi út 68, 4032, Magyarország"",68,T parkolóház,Böszörményi út,,Csigekert,4032,Debrecen,,Hajdú-Bihar vármegye,Észak-Alföld,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ÚJ MALOM UTCA 1.,"" CSORNA"",47.5995706,17.2487725,""Csorna, Új malom utca, 9300, Magyarország"",,Új malom utca,Új malom utca,,Kiscsorna,9300,Csorna,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÜLTERÜLET HRSZ.: 09/18,"" TISZAPALKONYA"",,,,,,,,,,,,,,,,,,,,"
"MÁTYÁS KIRÁLY STNY. 4-6.,"" HAJDÚSZOBOSZLÓ"",,,,,,,,,,,,,,,,,,,,"
"HOLDFÉNY UTCA 31.,"" BUDAÖRS"",47.4590271,18.933136,""Óvoda, Budaörs, Holdfény utca 31, 2040, Magyarország"",31,Óvoda,Holdfény utca,,Lakótelep,2040,Budaörs,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"SZILÁGYI ERZSÉBET FASOR 11/A,"" BUDAPEST"",47.5088191,19.019188325688496,""Hotel Belvedere Budapest, Budapest, Szilágyi Erzsébet fasor 11/a, 1024, Magyarország"",11/a,Hotel Belvedere Budapest,Szilágyi Erzsébet fasor,II. kerület,Országút,1024,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FÁY UTCA 27.,"" BUDAPEST"",47.536602571428574,19.076176328571428,""Budapest, Fáy utca 27, 1139, Magyarország"",27,,Fáy utca,XIII. kerület,Angyalföld,1139,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÉKE UTCA2-4. HRSZ.: 4481/G,"" VELENCE"",,,,,,,,,,,,,,,,,,,,"
"POLGÁRI UTCA 48-50.,"" HAJDÚBÖSZÖRMÉNY"",47.9609048,21.3444708,""Tiszavasvári, Polgári utca, 4440, Magyarország"",,Polgári utca,Polgári utca,Üdülőtelep,Tiszabűd,4440,Tiszavasvári,,Szabolcs-Szatmár-Bereg vármegye,Észak-Alföld,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"DEBRECENI UTCA 11/A,"" BALMAZÚJVÁROS"",47.8342515,22.117987,""Nyírbátor, Debreceni utca, 4300, Magyarország"",,Debreceni utca,Debreceni utca,,Bökekert,4300,Nyírbátor,,Szabolcs-Szatmár-Bereg vármegye,Észak-Alföld,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BÁSTYA UTCA 20.,"" BUDAPEST"",47.68994345,17.63487584645414,""Győr, Bástya utca 20, 9022, Magyarország"",20,,Bástya utca,,Belváros,9022,Győr,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HUNYADI JÁNOS ÚT 6. ,"" BUDAPEST"",47.1758551,20.1814994,""Szolnok, Hunyadi János út 6, 5000, Magyarország"",6,,Hunyadi János út,,Belváros,5000,Szolnok,,Jász-Nagykun-Szolnok vármegye,Észak-Alföld,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÁPOLNA TÉR 3.,"" MOSONMAGYARÓVÁR"",46.11633995,18.335721650000004,""Pécs, Kápolna tér 3, 7693, Magyarország"",3,,Kápolna tér,,Hird,7693,Pécs,,Baranya vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"NAGYENYED U 8-14.,"" BUDAPEST"",47.49795205,19.02205077791563,""Krisztina Palace, Budapest, Nagyenyed utca 8-14, 1123, Magyarország"",8-14,Krisztina Palace,Nagyenyed utca,XII. kerület,Krisztinaváros,1123,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÓBERT KÁROLY KRT. 70-74.,"" BUDAPEST"",47.5268353,19.0763791,""Magyar Posta, Budapest, Róbert Károly körút 70-74, 1555, Magyarország"",70-74,Magyar Posta,Róbert Károly körút,XIII. kerület,Angyalföld,1555,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÓZSEFHEGYI ÚT 26/B,"" BUDAPEST"",47.37946335,16.530687850670027,""Kőszeg, Szabóhegyi út 26, 9730, Magyarország"",26,,Szabóhegyi út,,Királyvölgy,9730,Kőszeg,,Vas vármegye,Nyugat-Dunántúl,,Magyarország,hu,0.5984999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BATTAI UTCA 8.,"" BUDAPEST"",47.527703,18.988861,""Budapest, Battai út, 1025, Magyarország"",,,Battai út,,Huvosvolgy,1025,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"JÁSZ UTCA 65/A,"" BUDAPEST"",47.5420677,19.0897318,""Budapest, Jász utca, 1131, Magyarország"",,Jász utca,Jász utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"IPARI PARK,"" SZEKSZÁRD"",47.679356,17.7014199,""Ipari park, Győr, Nyugat-Dunántúl, Magyarország"",,Ipari park,,,Ipari park,9041,Győr,1,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FURÉSZ UTCA 30-32.,"" BUDAPEST"",47.52040435,19.1187647,""Budapest, Fűrész utca 30-32, 1147, Magyarország"",30-32,,Fűrész utca,XIV. kerület,Alsórákos,1147,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ROKOLYA UTCA 20.,"" BUDAPEST"",47.5423754,19.089205540628967,""Budapest, Rokolya utca 20, 1131, Magyarország"",20,,Rokolya utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VERSEGHY FERENC UTCA 10.,"" BUDAPEST"",47.527620999999996,19.00476060355054,""Budapest, Verseghy Ferenc utca 10, 1026, Magyarország"",10,,Verseghy Ferenc utca,II. kerület,Vérhalom,1026,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"MÁTYÁSI UTCA 5.,"" KECSKEMÉT"",46.9085972,19.6971207,""Dr. Kormányos Nóra Ügyvéd, Kecskemét, Mátyási utca 5, 6000, Magyarország"",5,Dr. Kormányos Nóra Ügyvéd,Mátyási utca,,Rákócziváros,6000,Kecskemét,,Bács-Kiskun vármegye,Dél-Alföld,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KIKÖTO UTCA 1.,"" BALATONSZEMES"",46.81241105,17.76881206143031,""Balatonszemes, Kikötő utca 1, 8636, Magyarország"",1,,Kikötő utca,,,8636,Balatonszemes,,Somogy vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HÁROS UTCA 2-6.,"" BUDAPEST"",47.4104071,19.026847422042785,""Budapest, Háros utca 2-6, 1222, Magyarország"",2-6,,Háros utca,XXII. kerület,Budafok,1222,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TUTAJ UTCA 7-11.,"" BUDAPEST"",47.5230232,19.0582058,""Budapest, Tutaj utca 7-11, 1133, Magyarország"",7-11,,Tutaj utca,XIII. kerület,Újlipótváros,1133,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"LESHEGY UTCA 30.,"" SZIGETSZENTMIKLÓS"",47.3745775,19.0243083,""Prologis Park Budapest-Sziget, Szigetszentmiklós, Leshegy utca 30, 2310, Magyarország"",30,Prologis Park Budapest-Sziget,Leshegy utca,,Lakihegy,2310,Szigetszentmiklós,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HÁRSFA UTCA 29.,"" BUDAÖRS"",47.500936,19.070639666771463,""Budapest, Hársfa utca 29, 1074, Magyarország"",29,,Hársfa utca,VII. kerület,Erzsébetváros,1074,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÁKÓCZI TÉR 1.,"" RÉDE"",47.492317,19.0714744,""Budapest, Rákóczi tér 1, 1084, Magyarország"",1,,Rákóczi tér,VIII. kerület,Józsefváros,1084,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KÖNYVES KÁLMÁN KRT. 48-52.,"" BUDAPEST"",47.47965655,19.101105445359615,""Allianz székház / K3 irodaház, Budapest, Könyves Kálmán körút 48-52, 1087, Magyarország"",48-52,Allianz székház / K3 irodaház,Könyves Kálmán körút,VIII. kerület,Tisztviselőtelep,1087,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KOOLTÁR UTCA 4.,"" BUDAPEST"",47.4656471,18.98408595338004,""Budapest, Kőoltár utca 4, 1112, Magyarország"",4,,Kőoltár utca,XI. kerület,Madárhegy,1112,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KOSSUTH LAJOS UTCA 10.,"" LENTI"",47.7522499,19.0862541,""Tahitótfalu, Kossuth Lajos utca 10, 2021, Magyarország"",10,,Kossuth Lajos utca,Tótfalu,,2021,Tahitótfalu,,Pest vármegye,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"VAK BOTTYÁN UTCA 75.,"" BUDAPEST"",46.7662282,17.2379333,""Keszthely, Vak Bottyán utca 75, 8360, Magyarország"",75,,Vak Bottyán utca,,Helikonliget,8360,Keszthely,,Zala vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RUSZTI ÚT 13.,"" BUDAPEST"",47.514570649999996,19.014305949999994,""Budapest, Ruszti út 13, 1022, Magyarország"",13,,Ruszti út,II. kerület,Törökvész,1022,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"HUNGÁRIA KRT. 5-7.,"" BUDAPEST"",47.49198,19.109446,""Budapest, Hungária körút 5, 1101, Magyarország"",5,,Hungária körút,,Istvanmezo,1101,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GRASSALKOVICH KAST. HRSZ.: 5852,"" GÖDÖLLO"",48.018486,20.836652,""Hrsz. 767, Magyarország"",,,Hrsz. 767,,,,,,,,,Magyarország,hu,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"GUBACSI ÚT 61,"" BUDAPEST"",47.45817800666667,19.087791906666666,""Budapest, Gubacsi út 61, 1097, Magyarország"",61,,Gubacsi út,IX. kerület,Külső-Ferencváros,1097,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"TÁNCSICS MIHÁLY U. 2.,"" MOSONSZENTMIKLÓS"",47.5622927,18.9584499,""Budapest, Táncsics Mihály utca 2, 1028, Magyarország"",2,,Táncsics Mihály utca,II. kerület,Széphalom,1028,Budapest,,,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RUPPHEGYI ÚT 6. HRSZ.: 1528/15,"" BUDAPEST"",,,,,,,,,,,,,,,,,,,,"
"SZENT ERZSÉBET ÚT 19.,"" SÁROSPATAK"",46.7790101,17.2681851,""Keszthely, Szent Erzsébet út, 8360, Magyarország"",,Szent Erzsébet út,Szent Erzsébet út,,Csapás úti ipartelep,8360,Keszthely,,Zala vármegye,Nyugat-Dunántúl,,Magyarország,hu,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"UNIVERITAS UTCA 2/A,"" PÉCS"",47.67790685,16.587291937031758,""Vasútállomás, Sopron, Állomás utca 2, 9400, Magyarország"",2,Vasútállomás,Állomás utca,József Attila-lakótelep,Belváros külső,9400,Sopron,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FEJÉR LIPÓT UTCA 70.,"" BUDAPEST"",47.4653292,19.0368204,""Budapest, Fejér Lipót utca 70, 1119, Magyarország"",70,,Fejér Lipót utca,XI. kerület,Kelenföld,1119,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"PÁFRÁNYLIGET UTCA 8.,"" BUDAPEST"",47.5299148,18.985603374605397,""Budapest, Páfrányliget utca 8, 1025, Magyarország"",8,,Páfrányliget utca,II. kerület,Nyék,1025,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"FARKAS JÁNOS UTCA HRSZ.: 1055/2,"" IGAL"",,,,,,,,,,,,,,,,,,,,"
"SZENT IMRE UTCA 29.,"" SÁSD"",47.6031848,16.702505202214567,""Nagycenk, Szent Imre utca 29, 9485, Magyarország"",29,,Szent Imre utca,,,9485,Nagycenk,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ALKOTMÁNY KRT. 15-17.,"" SÁNDORFALVA"",46.0053802,17.456598632643622,""Barcs, Alkotmány utca 15, 7557, Magyarország"",15,,Alkotmány utca,,Somogytarnóca,7557,Barcs,,Somogy vármegye,Dél-Dunántúl,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"RÁKÓCZI FERENC ÚT 144.,"" BUDAPEST"",47.4258754,19.067556,""Ezer Íz Látványcukrászda, Budapest, II. Rákóczi Ferenc út 144, 1212, Magyarország"",144,Ezer Íz Látványcukrászda,II. Rákóczi Ferenc út,XXI. kerület,Csepel-Belváros,1212,Budapest,,Budapest,Közép-Magyarország,,Magyarország,hu,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ROKOLYA UTCA 21.,"" BUDAPEST"",47.5417866,19.09018583737619,""Budapest, Rokolya utca 21, 1131, Magyarország"",21,,Rokolya utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ROKOLYA UTCA 32.,"" BUDAPEST"",47.54185775,19.091219304878045,""Budapest, Rokolya utca 32, 1131, Magyarország"",32,,Rokolya utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KAPOSVÁRI UTCA 4.,"" SOMOGYVÁR"",46.04926155,17.785339431262678,""Szigetvár, Kaposvári utca 4, 7900, Magyarország"",4,,Kaposvári utca,,Szent István-lakótelep,7900,Szigetvár,,Baranya vármegye,Dél-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BAROSS GÁBOR ÚT 42.,"" GYOR"",47.6805416,17.63759776071906,""Győr, Baross Gábor út 42, 9024, Magyarország"",42,,Baross Gábor út,,Nádorváros,9024,Győr,,Győr-Moson-Sopron vármegye,Nyugat-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KOSSUTH UTCA 66.,"" ÚRHIDA"",46.9782193,17.92517115,""Csopak, Kossuth utca 66, 8229, Magyarország"",66,,Kossuth utca,,,8229,Csopak,,Veszprém vármegye,Közép-Dunántúl,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"BOGÁTI UTCA 1 SA1701,"" SOMOGYJÁD"",47.831996,22.006157,""Kisléta, Bogáti utca, Magyarország"",,,Bogáti utca,,,,Kisléta,,Szabolcs-Szatmár-Bereg,Észak-Alföld,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"KUCSMA UTCA 18.,"" BUDAPEST"",47.5448982,19.0911735,""Budapest, Kucsma utca 18, 1131, Magyarország"",18,,Kucsma utca,XIII. kerület,Angyalföld,1131,Budapest,,,Közép-Magyarország,,Magyarország,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
"ADY ENDRE UTCA 6. SA4701,"" MEZOCSOKONYA"",47.7371387,18.6712816,""Tokod, Ady Endre utca 6, 2531, Magyarország"",6,,Ady Endre utca,,,2531,Tokod,,Komárom-Esztergom vármegye,Közép-Dunántúl,,Magyarország,hu,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright"
